ID,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Churn
380,127,Renew,0,0.33,2,221,100,55.3,8.04,6.8,Tidak
381,137,Renew,0,0,3,242.1,118,58,9.55,14.7,Tidak
382,97,Renew,0,0,1,151.6,107,39,7.77,14.7,Tidak
383,149,NotRenew,0,0.18,0,176.2,87,44.8,7.25,5.7,Tidak
384,117,NotRenew,1,1,1,196,82,71,16.14,3.7,Tidak
385,84,Renew,0,0,2,159.5,125,49,12.36,7.2,Tidak
386,137,Renew,0,0.45,4,230.2,113,62.5,11.02,10.7,Tidak
387,99,Renew,0,0,3,146.7,64,49,13.7,8.9,Tidak
388,54,Renew,0,0,1,210.5,102,54,10.23,8.5,Tidak
389,85,Renew,0,0,1,102,95,41,13.51,10.7,Tidak
390,150,Renew,0,0.36,3,126,99,45.6,11.93,10.2,Tidak
391,43,Renew,0,0,1,168.4,125,50,12.19,11.1,Tidak
392,35,Renew,0,0,0,105.6,129,40,12.91,8.7,Tidak
393,98,Renew,0,0,5,206.5,92,51,8.81,12.4,Tidak
394,112,Renew,0,0.27,2,217.1,76,57.7,10.26,9.4,Tidak
395,16,Renew,0,0,0,229.6,78,57,10.29,10.8,Ya
396,98,Renew,1,2.62,0,278.3,89,82.2,4.67,9.7,Tidak
397,84,Renew,0,0,0,138.6,102,41,9.95,7.8,Tidak
398,94,Renew,0,0.18,1,234.4,103,65.8,13.97,2,Ya
399,84,Renew,0,0,1,181.5,129,42,6.54,8.5,Tidak
400,66,Renew,0,0,1,167.3,91,48,11.5,10.6,Ya
401,98,Renew,1,3.24,1,121,105,72.4,10.95,12,Tidak
402,74,Renew,0,0,0,221.1,124,48,5.54,10.6,Tidak
403,96,Renew,1,2.67,1,145.8,108,68.7,9.61,9.9,Tidak
404,119,Renew,0,0.34,1,222.8,122,55.4,8.16,11.2,Tidak
405,73,Renew,0,0,4,183.4,80,52,12.1,7.5,Tidak
406,92,NotRenew,0,0,0,264.3,91,59,8.05,9.3,Tidak
407,21,Renew,0,0,0,146,78,35,5.49,6.8,Tidak
408,122,Renew,0,0.29,4,157.1,134,45.9,9.25,8.5,Ya
409,133,NotRenew,0,0,1,127.3,108,43,12.57,10.3,Tidak
410,145,Renew,0,0,2,187.9,110,49,9.85,4.8,Tidak
411,25,Renew,0,0.26,2,178.8,90,45.6,7.06,8.4,Tidak
412,64,Renew,0,0.28,2,97.2,80,35.8,9.31,10.4,Tidak
413,85,Renew,0,0.2,0,259.8,85,67,12.12,5.4,Tidak
414,126,Renew,0,0,3,256.5,112,61,9.98,7,Tidak
415,76,Renew,0,0,0,169.5,77,40,6.2,10,Tidak
416,113,Renew,0,0,2,239.7,47,65,14.15,8.7,Ya
417,224,NotRenew,0,0.26,1,171.5,99,45.6,8,5,Ya
418,117,Renew,0,0,0,239.9,84,56,8.74,9.8,Tidak
419,128,Renew,1,4.32,1,142.3,73,84.2,9.74,16,Tidak
420,115,Renew,0,0,2,184.1,98,60,16.35,7.5,Tidak
421,141,Renew,1,2.51,2,206.9,126,83.1,13.22,9.3,Tidak
422,51,Renew,0,0,1,259.9,114,60,8.81,15.3,Tidak
423,100,Renew,0,0,0,203.8,122,59,14.16,12.5,Tidak
424,96,Renew,1,2.78,3,248.8,124,82.8,7.02,10.3,Tidak
425,112,Renew,1,3.05,1,221.6,110,79.5,6.51,11.3,Tidak
426,129,NotRenew,0,0.39,1,192.9,131,52.9,9.28,10.9,Tidak
427,163,Renew,0,0,1,122.4,129,31,5.67,12.5,Tidak
428,67,Renew,1,2.59,1,104.9,65,62.9,10.82,9.6,Tidak
429,140,Renew,0,0,3,173.2,91,47,9.84,11.2,Tidak
430,49,Renew,0,0,2,119.4,69,44,13.67,12.4,Tidak
431,46,Renew,0,0,2,250.3,100,65,13.03,13.3,Ya
432,148,Renew,0,0.39,1,178.3,98,58.9,14.13,11.4,Tidak
433,112,Renew,0,0,1,243.4,77,57,9.11,12.8,Tidak
434,78,Renew,0,0,2,155,106,42,8.77,11.8,Tidak
435,61,Renew,1,2.32,0,288.7,101,90.2,10.19,8.6,Tidak
436,58,Renew,1,3.02,1,240.4,80,81.2,5.95,11.2,Tidak
437,155,Renew,0,0,1,190.3,123,58,15.07,8,Tidak
438,100,Renew,0,0.32,0,278,76,66.2,8.84,8.3,Ya
439,113,Renew,0,0,1,155,93,55,16.53,13.5,Tidak
440,81,Renew,0,0,2,153.5,99,43,9.88,6.3,Tidak
441,135,Renew,1,3.32,1,273.4,141,93.2,7.7,12.3,Tidak
442,99,Renew,0,0,0,155.3,93,49,13.29,12.4,Tidak
443,59,Renew,1,1.84,1,133.1,114,60.4,11.06,6.8,Tidak
444,135,Renew,0,0,1,246.8,129,58,9.39,12.6,Tidak
445,85,NotRenew,0,0,2,165.4,107,45,9.8,9.6,Tidak
446,70,Renew,0,0.31,0,59.5,103,35.1,12.86,11.1,Tidak
447,88,Renew,0,0,3,138.3,116,44,11.8,9.6,Tidak
448,55,Renew,0,0,2,286.7,100,61,6.72,6.9,Tidak
449,75,Renew,0,0.34,1,117.3,114,41.4,10.06,12.2,Tidak
450,79,Renew,1,1.7,4,264.3,79,80,10.14,6.3,Tidak
451,85,Renew,0,0.25,0,127.9,107,47.5,13.56,12.5,Tidak
452,86,Renew,1,2.65,0,225.5,107,86.5,12.32,9.8,Tidak
453,91,Renew,0,0,0,149,115,47,12.27,8.3,Tidak
454,149,Renew,1,3.86,1,198.9,77,96.6,13.7,14.3,Tidak
455,97,Renew,0,0,1,256.4,125,67,13.7,11.1,Ya
456,88,Renew,0,0,1,264.8,124,66,12.27,14.8,Ya
457,60,Renew,0,0,2,98.2,88,33,9.03,9.3,Tidak
458,54,Renew,0,0.16,2,159.8,99,51.6,13.2,9.7,Tidak
459,11,Renew,1,1.62,3,190.6,86,68.2,11.01,6,Tidak
460,109,Renew,0,0,0,184,120,42,6.02,11,Tidak
461,90,Renew,0,0,1,261.8,128,64,11.03,9.6,Tidak
462,115,Renew,0,0,3,147.9,109,45,11.42,9.6,Tidak
463,144,Renew,1,2.73,1,106.4,109,55.3,5.41,10.1,Tidak
464,91,Renew,0,0,0,133.7,75,40,9.77,5.9,Tidak
465,105,Renew,1,2.3,0,193.5,85,75,11.01,8.5,Tidak
466,71,NotRenew,0,0,3,178.2,113,45,8.39,13.6,Ya
467,132,Renew,1,2.84,3,226.2,103,82.4,9.08,10.5,Ya
468,112,Renew,0,0.38,1,170.4,103,49.8,10.01,11.6,Tidak
469,86,Renew,1,3,3,70.9,163,57,8.34,11.1,Tidak
470,41,Renew,1,4.64,2,194.4,63,101.4,12.75,17.2,Tidak
471,44,Renew,0,0,1,240.3,146,55,8.23,10.6,Tidak
472,78,Renew,0,0,3,75,116,34,12.44,9.5,Tidak
473,149,Renew,0,0,1,69.1,117,24,6.82,6.3,Tidak
474,72,Renew,1,1.67,4,96.6,59,60.7,15.77,6.2,Ya
475,139,Renew,1,4,0,214.6,101,97,11.76,14.8,Tidak
476,74,Renew,0,0,3,148.5,111,38,7.33,9.9,Tidak
477,50,Renew,0,0.29,1,258.1,106,60.9,8.07,11.7,Tidak
478,141,Renew,1,2.05,3,149.7,112,60.5,8.13,7.6,Tidak
479,140,Renew,0,0,1,149.8,134,40,8.22,8.1,Tidak
480,99,Renew,0,0,2,190.4,102,46,7.91,11.2,Tidak
481,166,Renew,0,0.21,1,181.4,108,55.1,12.69,11.6,Tidak
482,124,Renew,0,0,1,151.1,123,42,9.37,5.3,Tidak
483,74,Renew,0,0,0,155.7,116,42,8.69,8.1,Tidak
484,117,Renew,0,0,2,149.9,95,48,12.81,13.3,Tidak
485,85,Renew,0,0,3,222.3,132,58,11.58,11,Tidak
486,36,Renew,1,1.81,0,149.4,111,55.1,6.59,6.7,Tidak
487,102,NotRenew,0,0,0,233.8,103,59,11.08,12.8,Tidak
488,76,Renew,0,0,0,204.2,100,60,14.63,10.5,Tidak
489,165,Renew,0,0,1,242.9,126,60,10.49,0,Tidak
490,130,Renew,0,0,1,150.4,119,46,11.53,12.3,Tidak
491,78,Renew,0,0,0,208.9,119,57,12.62,12.8,Tidak
492,55,NotRenew,0,0.32,1,191.9,91,58.2,12.81,14.3,Ya
493,92,NotRenew,0,0.21,2,130.7,113,47.1,13.03,9.4,Ya
494,129,Renew,1,1.59,2,119.6,104,60.9,13.94,5.9,Tidak
495,18,Renew,0,0,1,273.6,93,57,5.73,8.2,Tidak
496,161,NotRenew,0,0,2,156.1,114,42,9.02,11.1,Tidak
497,93,Renew,1,2.16,2,178.7,134,67.6,8.93,8,Tidak
498,144,Renew,0,0,2,177.5,93,55,14.37,11.9,Tidak
499,75,NotRenew,0,0,4,211.3,61,45,5.28,9.7,Ya
500,95,Renew,0,0,1,175.2,91,51,12.22,7.5,Tidak
501,126,Renew,1,3.4,3,114.3,102,70,9.52,12.6,Tidak
502,124,Renew,1,2.03,1,251.4,104,82.3,11.26,7.5,Tidak
503,93,NotRenew,0,0,1,216.9,61,55,10.37,17.5,Ya
504,109,NotRenew,1,2.51,0,217.2,138,75.1,7.28,9.3,Tidak
505,80,Renew,0,0,0,206.3,97,49,7.75,12.4,Tidak
506,41,Renew,0,0.19,1,159.3,66,39.9,6.3,11.1,Tidak
507,136,Renew,1,3.08,2,143.1,88,75.8,11.83,11.4,Tidak
508,92,Renew,0,0,3,154,122,55,16.49,5.6,Ya
509,143,Renew,1,3.13,1,186.6,69,82.3,11.1,11.6,Tidak
510,118,Renew,1,2.59,5,170.8,114,71.9,9.98,9.6,Ya
511,193,Renew,1,3.32,1,124,102,72.2,10.15,12.3,Tidak
512,73,Renew,0,0,3,198.3,94,58,13.97,14.8,Tidak
513,62,Renew,0,0,2,172.8,101,47,10.24,9.1,Tidak
514,30,Renew,1,1.78,0,217.4,74,73.8,10.69,6.6,Tidak
515,60,NotRenew,1,3.78,0,265.9,113,101.8,10.79,14,Ya
516,148,Renew,1,4.73,1,93.6,137,80.3,9.69,17.5,Tidak
517,96,Renew,0,0,2,98.2,100,43,15.36,7.6,Tidak
518,52,Renew,0,0.35,2,214.7,68,53.5,7.93,9.4,Tidak
519,87,Renew,0,0,1,168.2,92,48,11.24,12.9,Tidak
520,41,Renew,0,0.21,3,202.9,97,50.1,7.69,9,Tidak
521,112,Renew,0,0,1,261.4,108,58,7.73,11.6,Tidak
522,88,Renew,0,0,4,73.3,86,27,8.07,8.2,Ya
523,122,Renew,1,2.48,7,253.7,84,87.8,11.46,9.2,Tidak
524,61,Renew,0,0,2,45,108,21,7.57,9.8,Tidak
525,87,Renew,0,0.38,1,231.3,105,57.8,8.59,13,Tidak
526,176,Renew,0,0.25,2,47.4,125,25.5,8.39,10.5,Tidak
527,30,Renew,0,0,0,227.4,88,55,9.13,12.5,Tidak
528,95,Renew,1,3.21,0,40.9,126,51.1,6.67,11.9,Tidak
529,46,Renew,0,0,2,124.8,133,35,7.87,8.6,Tidak
530,100,NotRenew,0,0.19,0,68.5,110,42.9,16.86,12.1,Tidak
531,47,Renew,1,2.11,2,163.5,77,67.1,10.16,7.8,Tidak
532,77,Renew,0,0,2,163,112,47,10.96,6.7,Tidak
533,98,Renew,1,2.89,2,213.7,61,86.9,12.65,10.7,Tidak
534,125,Renew,1,1.46,1,201.3,117,52.6,2.11,5.4,Tidak
535,67,Renew,0,0.22,4,310.4,97,61.2,3.33,9.2,Tidak
536,194,Renew,0,0,1,48.4,101,33,14.06,18.2,Tidak
537,128,Renew,1,3.78,1,171.2,88,79.8,7.29,14,Tidak
538,190,Renew,1,2.3,0,166.5,93,67,9.15,8.5,Tidak
539,165,Renew,0,0,0,216.6,126,54,9.54,12.4,Tidak
540,59,Renew,0,0,2,107.8,113,37,10.83,9.9,Tidak
541,47,Renew,1,2.11,1,141.3,94,60.1,8.4,7.8,Tidak
542,150,Renew,1,1.78,0,209.9,77,67.8,7.9,6.6,Tidak
543,152,NotRenew,1,3.83,9,237.5,120,100.3,12.67,14.2,Ya
544,26,Renew,0,0,3,234.5,109,59,10.83,3.5,Tidak
545,79,Renew,1,3.29,3,103.1,90,71.9,12.15,12.2,Tidak
546,95,Renew,1,3.21,1,129.5,106,76.1,12.45,11.9,Tidak
547,69,NotRenew,0,0,2,279.8,90,69,12.44,8.4,Ya
548,95,NotRenew,1,2.78,5,136.8,91,68.8,10.04,10.3,Ya
549,31,Renew,1,1.59,0,100.1,54,53.9,12.32,5.9,Tidak
550,121,Renew,1,2.73,4,237.1,63,85.3,10.28,10.1,Tidak
551,111,Renew,0,0,4,172.8,58,45,9.16,7.9,Ya
552,157,Renew,0,0,2,224.5,111,56,10.04,11.5,Tidak
553,44,Renew,0,0.21,3,288.1,112,73.1,12.9,10.2,Ya
554,61,NotRenew,0,0,2,78.2,103,30,9.8,10.1,Tidak
555,65,Renew,0,0,2,148.7,80,48,12.95,12.7,Tidak
556,74,Renew,1,3.54,2,194.6,84,79.4,6,13.1,Tidak
557,123,Renew,0,0,0,159.5,77,53,15.19,12,Tidak
558,58,Renew,1,2.57,1,194.5,110,77.7,10.69,9.5,Tidak
559,74,Renew,0,0,2,174.1,96,51,12.56,8.3,Ya
560,125,Renew,0,0.39,2,131.8,97,38.9,6.84,7.7,Tidak
561,80,Renew,0,0,1,160.6,103,48,11.85,10.7,Tidak
562,53,Renew,1,1.94,0,146.8,107,71.4,15.5,7.2,Tidak
563,99,Renew,1,2.46,1,200.7,88,81.6,13.21,9.1,Tidak
564,99,Renew,0,0.33,1,145.6,106,37.3,4.92,10.9,Tidak
565,66,Renew,1,2.16,2,229.4,104,82.6,12.87,8,Tidak
566,97,Renew,0,0,3,211,76,52,9.45,4.7,Tidak
567,75,Renew,1,3.05,2,121.5,97,74.5,13.57,11.3,Tidak
568,85,NotRenew,0,0,2,216,73,53,9.41,3.6,Tidak
569,108,Renew,0,0,2,293,88,64,8.03,10,Tidak
570,133,NotRenew,1,4.16,2,221.1,137,102.6,13.25,15.4,Ya
571,51,Renew,0,0,1,181.5,108,48,9.85,10.3,Tidak
572,186,Renew,1,3.92,2,74.3,107,67.2,8.87,14.5,Tidak
573,44,NotRenew,0,0,1,62.3,92,34,13.75,10.8,Tidak
574,64,Renew,1,2.43,3,228.6,88,84.3,12.43,9,Tidak
575,44,Renew,0,0.33,2,228.1,121,66.3,13.83,9.9,Ya
576,114,Renew,1,3.83,1,309.9,90,108.3,10.02,14.2,Tidak
577,92,Renew,0,0.16,3,201.9,74,55.6,11.34,13.7,Tidak
578,110,Renew,0,0.29,2,149.8,112,43.9,9,11.7,Tidak
579,90,Renew,1,2.08,1,183.8,76,71.8,11.49,7.7,Tidak
580,72,Renew,1,4.46,1,186.7,108,105.6,16.75,16.5,Tidak
581,113,Renew,0,0,1,209.4,151,66,17.37,7.4,Ya
582,171,Renew,1,2.75,3,223.2,77,81.5,9.16,10.2,Tidak
583,104,Renew,0,0,1,164.2,109,42,7.77,10.7,Tidak
584,165,Renew,0,0.13,1,150.5,75,43.3,9.66,10.3,Tidak
585,104,Renew,0,0,0,234.2,128,65,14.66,9.8,Ya
586,110,Renew,0,0,1,55.3,102,24,8.24,10.2,Tidak
587,90,NotRenew,0,0,1,221.8,97,56,10.19,8.4,Tidak
588,114,Renew,0,0.4,1,169.6,85,38,2.95,7.4,Tidak
589,101,Renew,0,0,5,89.7,118,38,13.01,13.5,Ya
590,117,Renew,1,2.32,1,80.2,81,56.2,10.95,8.6,Tidak
591,109,Renew,0,0.42,2,218.9,105,67.2,15,11.3,Tidak
592,82,Renew,0,0,1,125.7,96,40,10.38,12.9,Tidak
593,92,Renew,0,0.31,2,176.3,85,41.1,4.67,9.6,Tidak
594,82,Renew,1,2.57,2,207.2,111,82.7,12.71,9.5,Tidak
595,90,Renew,0,0,2,205.7,138,49,8.1,12.5,Tidak
596,87,Renew,1,0,1,151.4,95,39,7.62,0,Tidak
597,124,Renew,0,0,3,157.5,70,38,6.54,9.6,Tidak
598,39,Renew,0,0,2,160.4,68,36,5.13,9.1,Tidak
599,84,Renew,0,0,1,159,80,42,8.4,12.3,Tidak
600,75,Renew,1,2.48,0,214.1,62,78.8,10.05,9.2,Tidak
601,102,Renew,0,0,2,102.6,89,39,12.3,9.1,Tidak
602,62,NotRenew,0,0,0,159.7,86,44,9.88,13.9,Ya
603,143,Renew,0,0.27,1,202.8,109,51.7,8.29,4.6,Tidak
604,53,Renew,0,0,3,57.5,95,33,13.28,11.6,Tidak
605,30,Renew,0,0,1,169.9,144,49,11.26,11.4,Tidak
606,112,Renew,0,0,2,335.5,77,76,10.63,12.7,Ya
607,129,Renew,0,0,0,139.5,119,49,14.47,13.1,Tidak
608,63,Renew,1,1.78,1,142.3,107,52.8,5.94,6.6,Tidak
609,28,Renew,0,0,0,187.8,94,54,12.43,10.6,Tidak
610,111,Renew,0,0,3,146.2,55,48,13.08,8.7,Tidak
611,91,Renew,0,0,3,231.8,120,53,7.53,11.6,Tidak
612,90,Renew,0,0,1,193.7,83,47,7.71,12.7,Tidak
613,151,Renew,0,0.24,4,156.4,108,49.4,11.67,7.7,Tidak
614,105,NotRenew,1,3.56,1,220.7,82,92.6,10.89,13.2,Ya
615,41,Renew,1,1.97,2,239.8,110,79.7,11.1,7.3,Tidak
616,48,Renew,1,2.16,1,172,111,68.6,10.01,8,Tidak
617,166,NotRenew,1,2.38,2,128.2,138,69.8,13.73,8.8,Tidak
618,79,Renew,0,0,3,130.2,119,47,14.55,14,Tidak
619,153,Renew,0,0,1,195.4,107,47,7.73,11.6,Tidak
620,110,NotRenew,0,0,0,293.3,79,66,9.43,14.5,Ya
621,163,Renew,0,0,1,191.3,89,49,9.7,12.8,Tidak
622,126,Renew,0,0,1,122.4,88,34,7.19,11.5,Tidak
623,105,Renew,1,2.86,2,209.6,68,77.6,7.35,10.6,Tidak
624,172,Renew,0,0,3,215.7,140,50,7.32,7.1,Tidak
625,126,Renew,0,0,0,161.4,110,47,11.03,5.1,Tidak
626,97,Renew,0,0.27,3,144.2,91,46.7,11.34,13.8,Tidak
627,95,NotRenew,1,1.11,0,220.2,109,65.1,9.27,4.1,Ya
628,87,Renew,0,0,4,256.2,105,58,8.04,7.4,Tidak
629,97,Renew,0,0,1,112.7,119,38,10.89,6.5,Tidak
630,76,Renew,0,0,0,299.5,125,71,11.34,13.7,Ya
631,140,Renew,0,0,0,194.8,107,48,8.55,13.9,Tidak
632,169,Renew,0,0,0,100.8,112,37,11.5,9.5,Tidak
633,68,Renew,1,1.3,3,82.5,97,52,14.5,4.8,Tidak
634,122,Renew,1,4.21,2,146.4,104,75.1,4.49,15.6,Tidak
635,36,Renew,0,0,2,177.9,129,50,11.23,10.8,Tidak
636,120,Renew,1,2.75,5,153.5,84,70.5,9.7,10.2,Tidak
637,121,Renew,0,0,1,150.7,105,43,9.87,9.2,Tidak
638,64,Renew,1,2.03,0,180.1,106,62.3,6.38,7.5,Tidak
639,13,Renew,1,3.48,1,265.3,94,92.8,7.38,12.9,Tidak
640,106,Renew,0,0,0,128.6,83,34,6.7,11.4,Tidak
641,88,Renew,0,0,2,161.5,92,43,8.68,7.9,Tidak
642,74,Renew,0,0,1,165.3,120,45,9.93,9.8,Tidak
643,83,Renew,0,0,0,195,92,52,10.53,11,Tidak
644,49,Renew,0,0,0,213.8,79,59,13.26,15.6,Tidak
645,111,Renew,1,3.78,1,205.5,114,91.8,10.97,14,Tidak
646,50,Renew,1,2.3,3,252.9,112,82,8.9,8.5,Tidak
647,153,Renew,1,4.16,0,235.6,74,101.6,11.4,15.4,Tidak
648,88,Renew,0,0,1,192,91,44,6.38,7.5,Tidak
649,131,Renew,1,2.46,0,69.1,122,45.6,5.07,9.1,Tidak
650,79,Renew,0,0,3,261.7,97,63,10.53,6,Ya
651,140,Renew,0,0,2,235.5,81,62,12.86,11.5,Tidak
652,105,Renew,0,0.38,1,213.4,100,57.8,10.25,9.5,Tidak
653,54,Renew,1,2.48,3,206.9,143,71.8,6.39,9.2,Tidak
654,87,Renew,1,2.3,3,263.8,65,77,5.17,8.5,Tidak
655,96,Renew,1,2.84,1,183.4,126,76.4,9.78,10.5,Tidak
656,79,Renew,0,0,5,157.6,85,44,9.71,9.4,Ya
657,55,Renew,0,0,0,175.6,147,44,8.09,9.3,Tidak
658,130,Renew,0,0,2,242.5,101,50,5.14,9.3,Tidak
659,34,Renew,0,0,0,151,102,37,6.57,9.9,Tidak
660,139,Renew,0,0.29,1,138.1,103,40.9,8.23,8.3,Tidak
661,109,Renew,0,0,1,264.7,69,71,15.25,9.5,Ya
662,65,Renew,1,3.24,1,282.3,70,93.4,7.6,12,Tidak
663,63,Renew,0,0.37,0,211.2,80,60.7,11.89,12.3,Tidak
664,152,Renew,0,0,3,197.1,126,45,6.51,7.4,Tidak
665,147,Renew,0,0,1,205.3,95,50,8.34,7.8,Tidak
666,112,Renew,1,2.48,2,181.8,110,75.8,11.41,9.2,Tidak
667,120,Renew,0,0,2,252,120,56,7.51,9.6,Tidak
668,27,Renew,0,0,0,193.8,102,44,5.95,9.2,Tidak
669,171,Renew,0,0,1,231.2,135,56,9.44,12.3,Tidak
670,101,Renew,1,4.19,0,200.1,108,92.9,9.45,15.5,Tidak
671,32,Renew,1,4.4,1,266.7,109,110,11.62,16.3,Tidak
672,3,Renew,1,3.21,2,118.1,117,71.1,11.08,11.9,Tidak
673,151,Renew,0,0.43,0,175.3,106,47.3,7.22,11.8,Tidak
674,60,Renew,0,0.35,3,125.1,99,46.5,12.44,11.2,Tidak
675,119,Renew,0,0.39,1,176.8,90,53.9,11.24,7.5,Tidak
676,43,Renew,0,0,1,241.9,101,53,6.47,5.9,Tidak
677,42,Renew,0,0,0,241.2,134,51,5.83,10.6,Tidak
678,84,Renew,0,0,1,217.1,99,57,11.8,9.4,Tidak
679,65,Renew,0,0.33,0,195.4,110,52.3,9.06,8.9,Tidak
680,75,NotRenew,0,0,1,222.4,78,66,16.35,8.7,Ya
681,116,Renew,0,0,1,189.5,90,49,9.49,13.1,Tidak
682,107,Renew,0,0,0,123.1,100,35,7.92,9.3,Tidak
683,189,Renew,1,3.08,3,256.7,98,87.8,7.53,11.4,Tidak
684,123,Renew,0,0,1,159.1,94,48,12.08,6.5,Tidak
685,110,Renew,0,0.24,3,100.1,90,39.4,11.67,11.1,Tidak
686,63,Renew,1,2.32,1,30.9,113,45.2,9.35,8.6,Tidak
687,176,Renew,0,0,3,223.2,76,57,10.72,10.1,Tidak
688,108,Renew,0,0,1,187.4,101,49,10,12.6,Tidak
689,13,Renew,1,3.27,3,315.6,105,104.7,10.45,12.1,Tidak
690,71,Renew,0,0,1,277.5,104,59,6.59,8.2,Tidak
691,88,Renew,0,0,2,189.8,111,50,9.87,14.9,Tidak
692,137,Renew,0,0,1,147.2,119,42,9.64,10.2,Tidak
693,82,Renew,0,0,4,185.8,36,56,13.83,5.7,Tidak
694,92,Renew,1,2.16,3,155.4,110,64.6,9.43,8,Tidak
695,165,Renew,0,0,6,154.2,91,50,13.43,10.9,Tidak
696,96,Renew,0,0,1,97.6,98,26,5.28,11.6,Tidak
697,156,Renew,0,0.33,1,178.8,94,49.3,8.92,7.5,Tidak
698,63,Renew,0,0,0,149.3,104,49,13.68,9.1,Tidak
699,37,Renew,0,0,0,206,89,51,9.3,8.4,Tidak
700,98,Renew,0,0,0,216.8,86,54,9.54,11,Tidak
701,121,Renew,0,0,0,103.3,110,29,6.46,10.7,Tidak
702,94,Renew,0,0.15,0,139.4,95,39.5,7.96,7.7,Tidak
703,99,Renew,0,0,1,191.2,110,47,8.2,14.1,Tidak
704,163,Renew,1,2.81,1,160,104,72.1,9.47,10.4,Tidak
705,161,Renew,0,0.32,3,221.7,95,58.2,9.65,6.5,Tidak
706,99,Renew,0,0,1,62.9,81,31,11.55,8.5,Tidak
707,108,Renew,0,0,1,215.6,78,54,9.77,3.6,Tidak
708,84,Renew,1,2.05,3,165.3,97,68.5,11.18,7.6,Tidak
709,83,NotRenew,1,2.86,2,94.7,111,58.6,7.72,10.6,Tidak
710,139,Renew,0,0,2,203.2,81,48,7.63,9.7,Tidak
711,69,Renew,0,0.29,3,195.3,70,54.9,10.84,12.5,Tidak
712,129,Renew,0,0,4,143.7,114,50,14.89,11.4,Tidak
713,106,Renew,0,0.31,2,114.4,104,30.1,3.92,0,Tidak
714,158,Renew,0,0,2,222.8,101,56,10.15,6.9,Tidak
715,168,Renew,1,1.97,2,175.9,70,67.7,10.59,7.3,Tidak
716,115,NotRenew,0,0,1,249.9,95,64,12.13,15.3,Ya
717,57,NotRenew,1,3.08,2,234.5,130,87.8,9.76,11.4,Tidak
718,67,Renew,0,0,1,210.7,116,55,10.96,7.2,Tidak
719,127,Renew,0,0,1,182.3,124,46,8.5,9.3,Tidak
720,78,Renew,0,0,2,190.3,88,49,9.73,11.7,Tidak
721,100,Renew,1,2,0,177.1,88,65,8.19,7.4,Tidak
722,103,Renew,1,2.94,6,87.2,92,59.4,8.47,10.9,Ya
723,113,Renew,0,0,1,215.6,96,54,9.67,13.5,Tidak
724,78,Renew,0,0,3,137.4,109,44,11.88,14,Tidak
725,129,Renew,1,4.43,1,192.8,103,92.3,8.85,16.4,Tidak
726,57,Renew,0,0.2,2,149.3,100,45,10.01,11.9,Tidak
727,82,Renew,0,0,1,143.7,116,39,8.54,7.8,Tidak
728,64,Renew,0,0,1,224.8,111,55,9.5,9.2,Tidak
729,86,Renew,1,3.43,2,261.2,122,97.3,10.71,12.7,Tidak
730,151,Renew,1,3.62,0,196.5,98,85.2,8.79,13.4,Tidak
731,94,Renew,0,0,3,271.2,105,64,10.13,11.5,Ya
732,90,Renew,0,0,2,207.2,121,61,14.63,8,Tidak
733,48,Renew,0,0,2,300.4,94,63,6.66,7.2,Tidak
734,85,Renew,1,2.57,2,229.6,123,76.7,6.62,9.5,Tidak
735,93,NotRenew,1,3.27,1,187.5,110,79.7,8.49,12.1,Tidak
736,169,NotRenew,0,0,3,57.1,98,27,9.99,6.5,Tidak
737,68,Renew,0,0,5,162.1,86,41,7.75,11,Ya
738,91,NotRenew,0,0,2,145,89,40,8.79,16.7,Ya
739,68,Renew,0,0,1,159.5,123,48,12.04,11.4,Tidak
740,101,Renew,0,0,1,190.7,72,51,10.43,8.8,Tidak
741,67,Renew,1,2.54,1,230.6,40,81.4,9.46,9.4,Tidak
742,66,Renew,0,0,0,34,133,30,13.93,11.5,Tidak
743,116,Renew,1,3.08,5,193.4,112,84.8,12.03,11.4,Tidak
744,158,Renew,0,0,1,202,126,49,8.18,10.4,Tidak
745,78,Renew,0,0,1,191.7,122,54,12.07,9.1,Tidak
746,119,Renew,1,1.78,1,161.3,97,66.8,12.52,6.6,Tidak
747,120,Renew,0,0.3,1,150.6,85,39,5.95,6.4,Tidak
748,155,Renew,0,0.34,1,184.6,102,52.4,9.8,7.8,Tidak
749,106,Renew,0,0,1,220.7,120,61,13.51,8.7,Tidak
750,87,NotRenew,0,0,1,167.3,119,46,9.93,11,Tidak
751,146,Renew,1,2.21,3,154,80,64.1,9.28,8.2,Tidak
752,101,Renew,1,2.73,0,121.1,116,64.3,9.32,10.1,Tidak
753,22,Renew,1,3.43,3,182.1,94,79.3,8.23,12.7,Tidak
754,90,Renew,0,0,2,109.6,88,31,6.88,11,Tidak
755,41,Renew,0,0.34,1,209.9,105,50.4,6.1,9.6,Tidak
756,69,Renew,0,0,2,167.5,76,50,12.11,11.4,Tidak
757,33,Renew,0,0,2,213.9,88,57,11.99,9.8,Tidak
758,112,Renew,0,0,1,115.8,108,41,12.17,13.1,Tidak
759,108,Renew,1,2.65,2,276.6,99,92.5,11.01,9.8,Tidak
760,136,Renew,1,2.57,2,179.4,88,71.7,9.06,9.5,Tidak
